date,open,high,low,close,Volume,K,D
9/1/2017,4734.26,4935,4671.09,4921.7,15367.5297,99.10986641,88.95527457
9/2/2017,4921.71,4979.9,4488.5,4599.9,16977.79362,70.58032978,87.22261521
9/3/2017,4599.9,4700,4385,4606.26,11224.91456,41.43215133,70.37411584
9/4/2017,4603.68,4613.97,4058.5,4277,25069.12523,8.098818,40.0370997
9/5/2017,4282.53,4474.88,4001.93,4396.52,20884.21969,8.029230892,19.18673341
9/6/2017,4397.38,4649.23,4356.42,4605.8,16634.10421,13.71361834,9.94722241
9/7/2017,4605.81,4674.34,4475,4615,9254.851427,23.83564148,15.19283024
9/8/2017,4615,4679.97,4125.99,4312,23693.30162,19.99156547,19.1802751
9/9/2017,4327.41,4379.78,4164,4308.72,9974.388235,10.12202314,17.9830767
9/10/2017,4322.44,4322.44,4010,4226.22,14724.20414,1.18E-15,10.03786287
9/11/2017,4226.21,4353.49,4092.4,4207.31,11191.59504,1.18E-15,3.374007714
9/12/2017,4198.89,4377.65,4080,4172.56,13294.4377,1.18E-15,3.95E-16
9/13/2017,4170.6,4179.14,3720.01,3865.34,29636.37492,1.18E-15,3.95E-16
9/14/2017,3861.89,3921.74,3210,3227.79,41319.39713,1.18E-15,3.95E-16
9/15/2017,3227.79,3820,2972.01,3700.01,60278.94654,11.80619163,3.935397209
9/16/2017,3699.89,3872.9,3500,3678.93,23158.22891,23.28572195,11.69730452
9/17/2017,3669.07,3772.52,3463,3662.99,11770.21765,35.76155599,23.61782319
9/18/2017,3662.95,4122.7,3659.42,4101.6,17207.59892,46.69068974,35.24598923
9/19/2017,4102,4119.7,3848.35,3888.8,15278.93044,53.69951863,45.38392145
9/20/2017,3888.8,4050,3820.56,3874.46,11660.27181,59.43098379,53.27373072
9/21/2017,3864,3914,3573,3617.05,17904.29717,55.50192442,56.21080894
9/22/2017,3607.83,3761.84,3514,3612.18,15007.73845,55.77063734,56.90118185
9/23/2017,3611.91,3810.25,3552,3779.17,10121.38538,63.22541001,58.16599059
9/24/2017,3781.13,3783.25,3615,3664.22,6508.72499,66.6517782,61.88260851
9/25/2017,3667.01,3968.59,3658.39,3918,14979.78226,79.08501799,69.65406873
9/26/2017,3920.66,3970,3850.61,3888.03,10014.62367,83.62567043,76.45415554
9/27/2017,3883.95,4226.73,3870,4199.29,15075.83872,94.72636956,85.81235266
9/28/2017,4202.34,4270.01,4123.5,4184.84,9625.929382,96.05153833,91.46785944
9/29/2017,4183.47,4227.62,4022.02,4164.82,12191.93065,97.16363085,95.98051291
9/30/2017,4162.04,4349,4154.28,4326.09,7496.782499,97.16363085,96.79293334
10/1/2017,4326.09,4377.22,4216,4377.22,7211.335136,97.98148349,97.4362484
10/2/2017,4369.33,4453,4352,4391.48,8259.764272,100,98.38170478
10/3/2017,4391.41,4425,4218,4315.83,12468.05726,95.36934205,97.78360851
10/4/2017,4315.73,4343,4170.07,4219.53,8518.992749,84.9857326,93.45169155
10/5/2017,4219.74,4358.97,4137.96,4301.09,8419.962842,78.62733154,86.32746873
10/6/2017,4301.09,4425,4278.4,4362.95,8377.30165,79.52633269,81.04646561
10/7/2017,4356.09,4463,4312.82,4423.3,4646.405621,89.45892367,82.5375293
10/8/2017,4422.72,4612,4404.5,4597.98,10083.86685,95.81732473,88.26752703
10/9/2017,4597.97,4865,4541,4764.7,12923.66662,99.54898153,94.94174331
10/10/2017,4761.67,4909.97,4700,4749.29,11666.02496,98.370395,97.91223375
10/11/2017,4747.9,4869.78,4700,4822.01,9866.895622,98.370395,98.76325718
10/12/2017,4822.01,5445,4793.66,5445,19916.22802,98.370395,98.370395
10/13/2017,5444,5846.43,5380,5653.6,27827.38029,100,98.91359667
10/14/2017,5653.58,5817.34,5558.26,5801.29,8410.936231,100,99.45679833
10/15/2017,5795.01,5830,5415,5679.7,11542.94583,94.24564129,98.08188043
10/16/2017,5683.92,5807.11,5548,5745.72,9066.799745,89.43202293,94.55922141
10/17/2017,5752.2,5776.31,5506.78,5597.31,9105.281879,77.67014931,87.11593785
10/18/2017,5591.97,5617.75,5101.36,5582.05,18960.62843,69.87640529,78.99285918
10/19/2017,5572.64,5735.14,5512.06,5698.69,9919.838217,62.76665203,70.10440221
10/20/2017,5700,6074,5589.8,5977.29,15109.06365,67.46051953,66.70119228
10/21/2017,5977.26,6180,5871,6013.46,15357.42373,73.07275476,67.76664211
10/22/2017,6010.85,6071.07,5700,5969,12232.52333,71.23193058,70.58840162
10/23/2017,5967.38,6045.34,5617.75,5871.17,15331.29674,55.20622551,66.50363695
10/24/2017,5869.82,5870,5453.01,5523.4,17286.72374,29.80875966,52.08230525
10/25/2017,5518.49,5748,5366,5735.88,12349.1067,16.49845956,33.83781491
10/26/2017,5741.35,5988,5683,5890,11788.30259,16.5816384,20.96295254
10/27/2017,5889.99,5994.06,5674.06,5771.89,11911.042,21.29862404,18.12624067
10/28/2017,5773.03,5875.66,5646.18,5730.69,5926.297372,18.40131746,18.76052663
10/29/2017,5731.7,6316.85,5683,6137.37,16086.62569,24.43634895,21.37876348
10/30/2017,6133.01,6229.77,6024.03,6119.99,9574.643653,35.2718979,26.03652144
10/31/2017,6120,6449.78,6072.81,6434.21,13423.30855,55.82680151,38.51168279
11/1/2017,6434.24,6756.36,6340.01,6741.59,12967.22212,69.9848291,53.69450951
11/2/2017,6745.04,7354.1,6700,7030,26514.65119,87.76562785,71.19241949
11/3/2017,7030,7500,6925.22,7146.82,15999.7838,97.18252672,84.97766122
11/4/2017,7145.24,7569.9,6994,7388.83,9200.114618,100,94.98271819
11/5/2017,7388.79,7590,7275.16,7372.72,9218.326898,99.17672936,98.78641869
11/6/2017,7373.3,7421.39,6922.07,6967.68,19323.12876,79.68497012,92.95389983
11/7/2017,6967.64,7244.69,6945,7130.28,11634.2653,61.68602549,80.18257499
11/8/2017,7131.38,7888,7080.01,7450.32,24679.72055,50.20129665,63.85743076
11/9/2017,7465.06,7490,7061.2,7148,14799.26577,44.63545433,52.17425883
11/10/2017,7150.61,7343.18,6429.44,6588.18,26614.27605,29.30106563,41.3792722
11/11/2017,6588.18,6820,6218,6355.13,14942.70256,8.275731778,27.40408391
11/12/2017,6355.13,6488.88,5555.55,5870.37,37315.15664,-8.29E-15,12.52559914
11/13/2017,5870.03,6775.75,5846,6525.17,27201.04211,8.450942508,5.575558095
11/14/2017,6524.69,6750,6466.88,6609,12072.05309,17.84628879,8.765743766
11/15/2017,6609,7350,6609,7294,16869.89791,33.99688139,20.09803756
11/16/2017,7294,7976.79,7120.85,7846.96,19272.37148,45.95938588,32.60085202
11/17/2017,7846.96,7997,7528.5,7674.99,17714.36787,54.60499453,44.85375394
11/18/2017,7675,7858,7431.54,7771.03,7326.81014,57.53202171,52.69880071
11/19/2017,7775.55,8087.35,7675,8016.58,8307.777509,63.00947522,58.38216382
11/20/2017,8016.58,8269.99,7900,8226.17,8179.457727,72.80818413,64.44989369
11/21/2017,8226.14,8354.46,7770,8095.23,13686.51124,78.950662,71.58944045
